,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
60,61,7,61,are,0.0,Neutral
61,62,7,62,taken,0.0,Neutral
62,63,7,63,from,0.0,Neutral
63,64,7,64,their,0.0,Neutral
64,65,7,65,mothers,0.0,Neutral
65,66,7,66,at,0.0,Neutral
66,67,7,67,a,0.0,Neutral
67,68,7,68,very,0.0,Neutral
68,69,7,69,young,0.0,Neutral
69,70,7,70,age.,0.0,Neutral
70,71,7,71,"Presumably,",0.0,Neutral
71,72,7,72,the,0.0,Neutral
72,73,7,73,absence,0.0,Neutral
73,74,7,74,of,0.0,Neutral
74,75,7,75,preening,0.0,Neutral
75,76,7,76,is,0.0,Neutral
76,77,7,77,due,0.0,Neutral
77,78,7,78,to,0.0,Neutral
78,79,7,79,the,0.0,Neutral
79,80,7,80,fact,0.0,Neutral
80,81,7,81,that,0.0,Neutral
81,82,7,82,they,0.0,Neutral
82,83,7,83,were,0.0,Neutral
83,84,7,84,never,0.0,Neutral
84,85,7,85,shown,0.0,Neutral
85,86,7,86,how,0.0,Neutral
86,87,7,87,to,0.0,Neutral
87,88,7,88,do,0.0,Neutral
88,89,7,89,it,0.0,Neutral
89,90,7,90,properly.,0.0,Neutral
90,91,7,91,A,0.0,Neutral
91,92,7,92,more,0.0,Neutral
92,93,7,93,common,0.0,Neutral
93,94,7,94,problem,-0.4019,Negative
94,95,7,95,among,0.0,Neutral
95,96,7,96,captive,0.0,Neutral
96,97,7,97,birds,0.0,Neutral
97,98,7,98,is,0.0,Neutral
98,99,7,99,excessive,0.0,Neutral
99,100,7,100,preening.,0.0,Neutral
100,101,7,101,Some,0.0,Neutral
101,102,7,102,birds,0.0,Neutral
102,103,7,103,may,0.0,Neutral
103,104,7,104,pull,0.0,Neutral
104,105,7,105,out,0.0,Neutral
105,106,7,106,large,0.0,Neutral
106,107,7,107,numbers,0.0,Neutral
107,108,7,108,of,0.0,Neutral
108,109,7,109,their,0.0,Neutral
109,110,7,110,feathers,0.0,Neutral
110,111,7,111,or,0.0,Neutral
111,112,7,112,bite,0.0,Neutral
112,113,7,113,them,0.0,Neutral
113,114,7,114,down,0.0,Neutral
114,115,7,115,to,0.0,Neutral
115,116,7,116,the,0.0,Neutral
116,117,7,117,skin.,0.0,Neutral
117,118,7,118,It,0.0,Neutral
118,119,7,119,should,0.0,Neutral
119,120,7,120,be,0.0,Neutral
120,121,7,121,noted,0.0,Neutral
121,122,7,122,that,0.0,Neutral
122,123,7,123,wild,0.0,Neutral
123,124,7,124,birds,0.0,Neutral
124,125,7,125,never,0.0,Neutral
125,126,7,126,exhibit,0.0,Neutral
126,127,7,127,this,0.0,Neutral
127,128,7,128,kind,0.5267,Positive
128,129,7,129,of,0.0,Neutral
129,130,7,130,behavior.,0.0,Neutral
130,131,7,131,There,0.0,Neutral
131,132,7,132,are,0.0,Neutral
132,133,7,133,several,0.0,Neutral
133,134,7,134,suggestions,0.0,Neutral
134,135,7,135,about,0.0,Neutral
135,136,7,136,how,0.0,Neutral
136,137,7,137,the,0.0,Neutral
137,138,7,138,problem,-0.4019,Negative
138,139,7,139,of,0.0,Neutral
139,140,7,140,excessive,0.0,Neutral
140,141,7,141,preening,0.0,Neutral
141,142,7,142,can,0.0,Neutral
142,143,7,143,be,0.0,Neutral
143,144,7,144,"solved,",0.2732,Positive
144,145,7,145,such,0.0,Neutral
145,146,7,146,as,0.0,Neutral
146,147,7,147,giving,0.34,Positive
147,148,7,148,birds,0.0,Neutral
148,149,7,149,baths,0.0,Neutral
149,150,7,150,or,0.0,Neutral
150,151,7,151,placing,0.0,Neutral
151,152,7,152,them,0.0,Neutral
152,153,7,153,in,0.0,Neutral
153,154,7,154,an,0.0,Neutral
154,155,7,155,area,0.0,Neutral
155,156,7,156,that,0.0,Neutral
156,157,7,157,has,0.0,Neutral
157,158,7,158,more,0.0,Neutral
158,159,7,159,activity,0.0,Neutral
159,160,7,160,to,0.0,Neutral
160,161,7,161,prevent,0.0258,Positive
161,162,7,162,boredom.,-0.3182,Negative
162,163,7,163,"However,",0.0,Neutral
163,164,7,164,these,0.0,Neutral
164,165,7,165,measures,0.0,Neutral
165,166,7,166,are,0.0,Neutral
166,167,7,167,often,0.0,Neutral
167,168,7,168,not,0.0,Neutral
168,169,7,169,sufficient,0.0,Neutral
169,170,7,170,to,0.0,Neutral
170,171,7,171,solve,0.2023,Positive
171,172,7,172,the,0.0,Neutral
172,173,7,173,problem.,-0.4019,Negative
